CDM,equipe,Goals
Russie 2018 , France , 14
Russie 2018 , Croatie , 14
Russie 2018 , Belgique , 16
Russie 2018 , Angleterre , 12
Brésil 2014 , Allemagne , 18
Brésil 2014 , Argentine , 7
Brésil 2014 , Pays-Bas , 15
Brésil 2014 , Brésil , 11
Afrique du Sud 2010 , Espagne , 8
Afrique du Sud 2010 , Pays-Bas , 11
Afrique du Sud 2010 , Allemagne , 16
Afrique du Sud 2010 , Uruguay , 11
Allemagne 2006 , Italie , 12
Allemagne 2006 , France , 9
Allemagne 2006 , Allemagne , 13
Allemagne 2006 , Portugal , 7
Corée/Japon 2002 , Brésil , 18
Corée/Japon 2002 , Allemagne , 14
Corée/Japon 2002 , Turquie , 10
Corée/Japon 2002 , République de Corée , 8
France 1998 , France , 14
France 1998 , Brésil , 13
France 1998 , Croatie , 11
France 1998 , Pays-Bas , 13
États-Unis 1994 , Brésil , 11
États-Unis 1994 , Italie , 8
États-Unis 1994 , Suède , 15
États-Unis 1994 , Bulgarie , 10
Italie 1990 , République Fédérale d'Allemagne , 15
Italie 1990 , Argentine , 5
Italie 1990 , Italie , 10
Italie 1990 , Angleterre , 8
Mexique 1986 , Argentine , 14
Mexique 1986 , République Fédérale d'Allemagne , 8
Mexique 1986 , France , 12
Mexique 1986 , Belgique , 12
Espagne 198 , Italie , 12
Espagne 198 , République Fédérale d'Allemagne , 12
Espagne 198 , Pologne , 11
Espagne 198 , France , 16
Argentine 1978 , Argentine , 15
Argentine 1978 , Pays-Bas , 15
Argentine 1978 , Brésil , 10
Argentine 1978 , Italie , 8
Allemagne 1974 , République Fédérale d'Allemagne , 13
Allemagne 1974 , Pays-Bas , 15
Allemagne 1974 , Pologne , 16
Allemagne 1974 , Brésil , 6
Mexique 1970 , Brésil , 19
Mexique 1970 , Italie , 9
Mexique 1970 , République Fédérale d'Allemagne , 17
Mexique 1970 , Uruguay , 4
Angleterre 1966 , Angleterre , 11
Angleterre 1966 , République Fédérale d'Allemagne , 15
Angleterre 1966 , Portugal , 16
Angleterre 1966 , Union soviétique , 10
Chili 1962 , Brésil , 14
Chili 1962 , Tchécoslovaquie , 7
Chili 1962 , Chili , 10
Chili 1962 , Yougoslavie , 10
Suède 1958 , Brésil , 16
Suède 1958 , Suède , 12
Suède 1958 , France , 23
Suède 1958 , République Fédérale d'Allemagne , 12
Suisse 1954 , République Fédérale d'Allemagne , 24
Suisse 1954 , Hongrie , 27
Suisse 1954 , Autriche , 16
Suisse 1954 , Uruguay , 16
Brésil 1950 , Uruguay , 15
Brésil 1950 , Brésil , 21
Brésil 1950 , Suède , 11
Brésil 1950 , Espagne , 10
France 1938 , Italie , 11
France 1938 , Hongrie , 14
France 1938 , Brésil , 14
France 1938 , Suède , 11
Italie 1934 , Italie , 12
Italie 1934 , Tchécoslovaquie , 9
Italie 1934 , Allemagne , 11
Italie 1934 , Autriche , 7
Uruguay 1930 , Uruguay , 15
Uruguay 1930 , Argentine , 18
Uruguay 1930 , USA , 7
Uruguay 1930 , Yougoslavie , 7
